Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
163879,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,St. Tammany,Big Branch Marsh National Wildlife Refuge,30.2708,-89.9375,GNIS,Accurate,Liberty Bayou-Tchefuncta,8090201,2005,,,established,,Literature,,,Freshwater,14257,Web Page,2005,U.S. Fish and Wildlife Service.,National Wildlife Refuge System Invasive Species.,USFWS National Wildlife Refuge System and USGS National Institute of Invasive Species Science.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242593,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,St. Tammany,West Pearl River,30.1613083,-89.64839,GNIS,Approximate,Lake Pontchartrain,8090202,1997,,,established,Study site for a marsh damage study,Literature,,,Freshwater,17249,Journal Article,1997,"Taylor, K.L., J .B. Grace, and B.D. Marx",The effects of herbivory on neighbor interactions along a coastal marsh gradient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242672,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,St. Tammany,St. Tammany Parish,30.398425,-89.930622,US Census Bureau,Centroid,Liberty Bayou-Tchefuncta,8090201,2006,,,established,,Literature,,,Freshwater,17270,Report,2007,"Scarborough, J., and E. Mouton.",A Survey of Nutria Herbivory Damage in Coastal Louisiana in 2007.,"Fur and Refuge Division, Louisiana Department of Wildlife and Fisheries, Coastwide Nutria Control Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242673,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Tangipahoa,Tangipahoa Parish,30.607405,-90.462949,US Census Bureau,Centroid,Tangipahoa,8070205,2006,,,established,,Literature,,,Freshwater,17270,Report,2007,"Scarborough, J., and E. Mouton.",A Survey of Nutria Herbivory Damage in Coastal Louisiana in 2007.,"Fur and Refuge Division, Louisiana Department of Wildlife and Fisheries, Coastwide Nutria Control Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242152,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Tensas,Tensas Parish,31.967396,-91.314839,US Census Bureau,Centroid,Tensas,8050003,1958,,,established,site location based upon non-native distribution described in the reference,Literature,,,Freshwater,17133,Journal Article,1958,"Presnall, C.C.",The Present Status of Exotic Mammals in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250232,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Terrebonne,Terrebonne Parish,29.541174,-90.735917,US Census Bureau,Centroid,West Central Louisiana Coastal,8090302,1993,,,established,,Literature,,,Freshwater,17195,Report,1997,"Linscombe, G., and N. Kinler.",A Survey of Vegetative Damage Caused by Nutria Herbivory in the Barataria and Terrebonne Basins.,Barataria National Estuary Program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242132,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Terrebonne,Terrebonne Parish,29.541174,-90.735917,US Census Bureau,Centroid,West Central Louisiana Coastal,8090302,1947,,,established,,Literature,,,Freshwater,17038,Journal Article,1948,"Ashbrook, F.G.",Nutrias grow in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242675,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Terrebonne,Terrebonne Parish,29.541174,-90.735917,US Census Bureau,Centroid,West Central Louisiana Coastal,8090302,2006,,,established,6767 acres of marsh damaged by nutria around this site.,Literature,,,Freshwater,17270,Report,2007,"Scarborough, J., and E. Mouton.",A Survey of Nutria Herbivory Damage in Coastal Louisiana in 2007.,"Fur and Refuge Division, Louisiana Department of Wildlife and Fisheries, Coastwide Nutria Control Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242674,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Vermilion Parish,29.961979,-92.22191,US Census Bureau,Centroid,Mermentau,8080202,2006,,,established,76 acres of marsh damaged by nutria around this site.,Literature,,,Freshwater,17270,Report,2007,"Scarborough, J., and E. Mouton.",A Survey of Nutria Herbivory Damage in Coastal Louisiana in 2007.,"Fur and Refuge Division, Louisiana Department of Wildlife and Fisheries, Coastwide Nutria Control Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242137,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Vermilion Parish,29.961979,-92.22191,US Census Bureau,Centroid,Vermilion,8080103,1947,,,established,,Literature,,,Freshwater,17038,Journal Article,1948,"Ashbrook, F.G.",Nutrias grow in the United States.,,,17188,Journal Article,1956,"Harris, V.T.",The Nutria as a Wild Fur Mammal in Louisiana.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250246,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Vermilion Parish,29.961979,-92.22191,US Census Bureau,Centroid,Mermentau,8080202,1998,,,established,,Literature,,,Freshwater,17835,Report,1998,"Kinler, N., G. Linscombe, and S. Hartley.",A Survey of Nutria Herbivory Damage in Coastal Louisiana in 1998.,"Fur and Refuge Division, Louisiana Department of Wildlife and Fisheries, Coastwide Nutria Control Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253837,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Vermilion Bay,29.77987,-92.042084,GNIS,Approximate,Vermilion,8080103,1977,,,established,"723 nutria were live trapped, tagged and released to estimate the population in the marsh. Vegetative changes were also investigated.",Literature,,,Freshwater,17193,Journal Article,1981,"Linscombe, G., N. Kinler, and V. Wright",Nutria Population Density and Vegetation Changes in Brackish Marsh in Coastal Louisiana.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253834,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Cheniere Au Tigre,29.56827,-92.203185,GNIS,Approximate,Mermentau,8080202,1955,,,established,,Literature,,,Freshwater,17188,Journal Article,1956,"Harris, V.T.",The Nutria as a Wild Fur Mammal in Louisiana.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242241,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Paul J Rainey Wildlife Refuge and Game Preserve,29.610772,-92.185407,Map derived,Accurate,Vermilion,8080103,1954,,,established,Survey site for a study on the effect of nutria on marsh vegetation.,Literature,,,Freshwater,17192,Report,1962,"Harris, V.T., and F. Webert.",Nutria Feeding Activity and Its Effect on Marsh Vegetation in Southwestern Louisiana.,US Department of the Interior Fish and Wildlife Service Special Scientific Report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242242,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Belle Isle,29.6474379,-92.2306,GNIS,Accurate,Mermentau,8080202,1954,,,established,"Survey site for a study on the effect of nutria on marsh vegetation. Between 1953-1957 209,345 nutria trapped at this location.",Literature,,,Freshwater,17192,Report,1962,"Harris, V.T., and F. Webert.",Nutria Feeding Activity and Its Effect on Marsh Vegetation in Southwestern Louisiana.,US Department of the Interior Fish and Wildlife Service Special Scientific Report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253828,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Cheniere Au Tigre,29.56827,-92.203185,GNIS,Approximate,Mermentau,8080202,1948,,,established,,Literature,,,Freshwater,17038,Journal Article,1948,"Ashbrook, F.G.",Nutrias grow in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253829,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vermilion,Pecan Island,29.642163,-92.4331,GNIS,Approximate,Mermentau,8080202,1948,,,established,,Literature,,,Freshwater,17038,Journal Article,1948,"Ashbrook, F.G.",Nutrias grow in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242189,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,Vernon,Vernon Parish,31.116431,-93.214193,US Census Bureau,Centroid,Whisky Chitto,8080204,1960,,,established,,Literature,,,Freshwater,17146,Conference Proceedings,1987,"Conner, W.H., and J.R. Toliver.",The Problem of Planting Louisiana Swamplands with Nutria (<em>Myocastor coypus</em>) are Present.,University of Nebraska,"Lincoln, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242158,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,West Baton Rouge,West Baton Rouge Parish,30.452085,-91.263053,US Census Bureau,Centroid,Lower Grand,8070300,1958,,,established,site location based upon non-native distribution described in the reference,Literature,,,Freshwater,17133,Journal Article,1958,"Presnall, C.C.",The Present Status of Exotic Mammals in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242676,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,West Baton Rouge,West Baton Rouge Parish,30.452085,-91.263053,US Census Bureau,Centroid,Lower Grand,8070300,2006,,,established,,Literature,,,Freshwater,17270,Report,2007,"Scarborough, J., and E. Mouton.",A Survey of Nutria Herbivory Damage in Coastal Louisiana in 2007.,"Fur and Refuge Division, Louisiana Department of Wildlife and Fisheries, Coastwide Nutria Control Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242157,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,LA,West Feliciana,West Feliciana Parish,30.867513,-91.385784,US Census Bureau,Centroid,Bayou Sara-Thompson,8070201,1958,,,established,site location based upon non-native distribution described in the reference,Literature,,,Freshwater,17133,Journal Article,1958,"Presnall, C.C.",The Present Status of Exotic Mammals in the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446471,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,MA,Essex,Plum Island beach,42.7497,-70.7971,reported,Accurate,Charles,1090001,2002,2,25,unknown,,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529858,1089,Mammals,Myocastoridae,Myocastor coypus,nutria,United States of America,MA,Middlesex,"Assabet River, west bank",42.386,-71.57629,reported,Accurate,Concord River,1070005,2019,2,17,unknown,,NAS sighting report,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
